つきのゆく,なみのしからみ,かけとめよ,あまのかはらの,みしかよのそら
まちいてて,しはしすすしく,みるつきの,ひかりにやかて,あくるみしかよ
なつのよは,つきこそあかね,やまのはの,あなたのさとに,すむへかりけり
あけやすき,よのまならすは,つきかけを,あきのそらとや,おもひはてまし
あけやすき,ならひたにうき,みしかよの,つきにはくもの,かからすもかな
いたつらに,ふくるはやすき,おいかよも,おもひしらるる,なつのよのつき
ことのねに,ひひきかよへる,まつかせを,しらへてもなく,せみのこゑかな
やまひこも,こたへそあへぬ,ゆふつくひ,さすやをかへの,せみのもろこゑ
けふはまた,しのにをりはへ,みそきして,あさのつゆちる,せみのはころも
よるせなき,みをこそかこて,おもふこと,なほおほぬさに,なつはらへして
おほぬさや,あさのゆふして,うちなひき,みそきすすしき,かものかはかせ
なみかくる,たもともすすし,よしのかは,みそきにやかて,あきやきぬらむ
けふしはや,かへるさすすし,みそきかは,ゆふなみかけて,あきやたつらむ
あききぬと,おもひもあへぬ,あさけより,はしめてすすし,せみのはころも
せみのはの,うすきたもとに,ふきかへて,やかてみにしむ,あきのはつかせ
あきかせの,ふきにしひより,かたをかの,せみのなくねも,いろかはるなり
すまのあまの,そてになれぬる,うらかせも,あきとやけさは,ふきかはるらむ
つねよりも,あきになるをの,まつかせは,わきてみにしむ,ものにそありける
おほともの,みつのはままつ,かみさひて,むかしなからの,あきのはつかせ
のきちかき,まつのこすゑに,おとつれて,そてにしくるる,あきのはつかせ
あすかかせ,おとふきかへて,たをやめの,そてにもけさや,あきをしるらむ
たをやめの,ころもをうすみ,あきやたつ,あすかにちかき,かつらきのやま
こすゑふく,かせよりあきの,たつたやま,したはにつゆや,もらしそむらむ
いとはやも,つゆそみたるる,たまたれの,こすのおほのの,あきのはつかせ
あきはまた,あさちかすゑの,ゆふかせに,わかそてかけて,つゆけかるらむ
ひとりゐて,なかむるやとに,あききぬと,をきのうははの,おとろかすらむ
いかなれは,をきのはそよく,かせのおとの,あきときくより,さひしかるらむ
よもすから,をきのはかせの,たえせぬに,いかてかつゆの,たまとぬくらむ
わきてなと,をきのはにのみ,のこるらむ,ほとなくすくる,にはのあきかせ
そてにのみ,おきこそまされ,をきのはの,かせにたまらぬ,あきのしらつゆ
むかしたれ,あきのあはれを,しりそめて,いまもなみたの,つゆこほるらむ
あききぬと,おもひもあへぬ,ころもての,たかならはしに,つゆけかるらむ
おもひいてて,ひとこそとはね,やまさとの,まかきのをきに,あきかせそふく
ひさかたの,あまのかはきり,たつときや,たなはたつめの,わたるなるらむ
あまのかは,かちおときこゆ,ひこほしの,たなはたつめと,こよひあふらし
さはるへき,ちきりならねと,たなはたの,くるるまつまや,くるしかるらむ
いくあきも,たえぬちきりや,たなはたの,まつにかひある,ひとよなるらむ
ここのへの,にはのともしひ,かけふけて,ほしあひのそらに,つきそかたふく
いくとせを,ゆきめくりても,たなはたの,ちきりはたえし,よはのしたおひ
たなはたの,まれにあふせも,としふれは,わたりやなるる,あまのかはなみ
あまのかは,としのわたりは,とほけれと,なかれてはやく,あきもきにけり
かさねても,うらみやはれぬ,たなはたの,あふよまとほの,くものころもは
いつのまに,もみちのはしを,わたすらむ,しくれぬさきの,ほしあひのそら
あまのかは,おもふかなかに,ふねはあれと,かちよりゆくか,かささきのはし
いくあきか,わたしきぬらむ,あまのかは,おのかよりはの,かささきのはし
たなはたの,いほはたころも,かさねても,あきのひとよと,なにちきりけむ
たなはたの,くものころもの,きぬきぬに,かへるさつらき,あまのかはなみ
たなはたの,あかぬわかれの,かへるさに,いまこむとしを,またちきるらむ
かせふけは,しのにみたるる,かるかやも,ゆふへはわきて,つゆこほれけり
ゆふされは,をはなかたよる,あきかせに,みたれもあへぬ,つゆのしらたま
かせふけは,まののいりえに,よるなみを,をはなにかけて,つゆそみたるる
のへことに,みたれてみゆる,かるかやの,つゆふきむすふ,あきのやまかせ
おきあへぬ,あさけのつゆに,さきそめて,こはきかすゑは,はなそいろこき
あさなあさな,みれともあかぬ,あきはきの,はなをはあめに,たれぬらしけむ
わすれすよ,はきのとくちの,あけたては,なかめしはなの,いにしへのあき
ちくさなる,はなのにしきを,あきくれは,みるひといかに,たちうかるらむ
うつらなく,いはれののへの,あきはきを,おもふひととも,みつるけふかな
みやきのの,つゆわけきつる,そてよりも,こころにうつる,はきかはなすり
はきかはな,をりてをゆかむ,みやきのや,このしたかせに,ちらまくもをし
あきかせは,すすしくなりぬ,こまなへて,いさみにゆかむ,はきのはなみに
はるされは,かすみかくれに,みえさりし,あきはきさけり,をりてかささむ
わかかとに,あきはきさけり,このねぬる,あさかせはやみ,はなちりぬへし
さをしかの,しからむのへの,はきかはな,ころもにすらむ,ちらまくもをし
あきはきの,つゆちるはなの,すりころも,うつろふつきも,かけそみたるる
からころも,すそののくさの,しらつゆの,むすへはとくる,はなのしたひも
あきののは,こころもしのに,みたれつつ,こけのそてにも,はなやうつらむ
をみなへし,にほひをそてに,うつしては,あやなくひとや,われをとかめむ
あたしのの,こころもしらぬ,あきかせに,あはれかたよる,をみなへしかな
をみなへし,よかれぬつゆを,おきなから,あたなるかせに,なになひくらむ
なへてさく,はなのなかにも,をみなへし,おほかるのへは,すきうかりけり
かけくらき,まかきのもとの,きりきりす,くるるもまたて,ねをやなくらむ
こゑたえす,あきのよすから,なくむしは,あさちかつゆそ,なみたなりける
つゆふかき,またあさあけの,くさかくれ,よのまのむしの,こゑそのこれる
ふるさとの,まかきのむしや,うらむらむ,のへのかりねの,よさむなるころ
あさとあけて,はなのひもとく,いててみむ,たちなかくしそ,のへのあききり
かせさわく,くさのまかきの,はなすすき,おほふはかりの,そてかとそみる
ゆふくれの,のへふきすくる,あきかせに,ちくさをつたふ,はなのうへのつゆ
はきのうへの,つゆとなりてや,くもゐとふ,かりのなみたも,いろかはるらむ
