こほりゐし,しかのからさき,うちとけて,ささなみよする,はるかせそふく
かこやまの,しらくもかかる,みねにても,おなしたかさそ,つきはみえける
よもすから,ふしのたかねに,くもきえて,きよみかせきに,すめるつきかな
やましろの,いはたのもりの,いはすとも,こころのうちを,てらせつきかけ
つきにこそ,むかしのことは,おほえけれ,われをわするる,ひとにみせはや
なからへは,おもひいてにせむ,おもひいてよ,きみとみかさの,やまのはのつき
あふさかの,せきのすきはら,したはれて,つきのもるにそ,まかせたりける
つれつれと,あれたるやとを,なかむれは,つきはかりこそ,むかしなりけれ
ふかくいりて,すまはやとおもふ,やまのはを,いかなるつきの,いつるなるらむ
おのかみの,おのかこころに,かなはぬを,おもははものは,おもひしりなむ
あやめくさ,かりにもくらむ,ものゆゑに,ねやのつまとや,ひとのみるらむ
ひとしれす,ものおもふことは,ならひにき,はなにわかれぬ,はるしなけれは
おもはれぬ,そらのけしきを,みるからに,われもしくるる,かみなつきかな
あたひとは,しくるるよはの,つきなれや,すむとてえこそ,たのむましけれ
たかさとに,かたらひかねて,ほとときす,かへるやまちの,たよりなるらむ
よしさらは,つらさはわれに,ならひけり,たのめてこぬは,たれかをしへし
かつきけむ,たもとはあめに,いかかせし,ぬるるはさても,おもひしれかし
ふかくしも,たのまさらなむ,きみゆゑに,ゆきふみわけて,よなよなそゆく
よのひとの,またしらぬまの,うすこほり,みわかぬほとに,きえねとそおもふ
あきはみな,おもふことなき,をきのはも,すゑたわむまて,つゆはおくめり
いかなれは,おなしなかれの,みつにしも,さのみはつきの,うつるなるらむ
すみよしの,ほそえにさせる,みをつくし,ふかきにまけぬ,ひとはあらしな
ふるあめの,あしともおつる,なみたかな,こまかにものを,おもひくたけは
かみなつき,ありあけのそらの,しくるるを,またわれならぬ,ひとやみるらむ
しのふるも,くるしかりけり,かすならぬ,みにはなみたの,なからましかは
おとせぬは,くるしきものを,みにちかく,なるとていとふ,ひともありけり
ひとのよに,ふたたひしぬる,ものならは,しのひけりやと,こころみてまし
ゆふきりに,さののふなはし,おとすなり,てなれのこまの,かへりくるかも
すみよしの,なみにひたれる,まつよりも,かみのしるしそ,あらはれにける
いかてかく,ねををしむらむ,あやめくさ,うきにはこゑも,たてつへきよを
よのなかに,ふるかひもなき,たけのこは,わかつむとしを,たてまつるなり
としへぬる,たけのよはひを,かへしても,このよをなかく,なさむとそおもふ
あしかれと,おもはぬやまの,みねにたに,おふなるものを,ひとのなけきは
ひたふるに,やまたもるみと,なりぬれは,われのみひとを,おとろかすかな
みかさやま,さすかにかけに,かくろへて,ふるかひもなき,あめのしたかな
きみひかす,なりなましかは,あやめくさ,いかなるねをか,けふはかけまし
おもひかね,わかれしのへを,きてみれは,あさちかはらに,あきかせそふく
ふるさとへ,われはかへりぬ,たけくまの,まつとはたれに,つけよとかおもふ
かれはつる,ふちのすゑはの,かなしきは,たたはるのひを,たのむはかりそ
よるのつる,みやこのうちに,はなたれて,こをこひつつも,なきあかすかな
みのうさは,すきぬるかたを,おもふにも,いまゆくすゑの,ことそかなしき
うもれきの,したはくつれと,いにしへの,はなのこころは,わすれさりけり
いまはたた,むかしそつねに,こひらるる,のこりありしを,おもひてにして
おいてのち,むかしをしのふ,なみたこそ,ここらひとめを,しのはさりけれ
ゆくすゑの,いにしへはかり,こひしくは,すくるつきひも,なけかさらまし
いとひても,なほをしまるる,わかみかな,ふたたひくへき,このよならねは
なにはえの,あしまにやとる,つきみれは,わかみひとつも,しつまさりけり
あしひたく,まやのすみかは,よのなかを,あくかれいつる,かとてなりけり
しつのめか,ゑくつむさはの,うすこほり,いつまてふへき,わかみなるらむ
むかしみし,くもゐをこひて,あしたつの,さはへになくや,わかみなるらむ
みかつきの,またありあけに,なりぬるや,うきよをめくる,ためしなるらむ
ちるはなに,またもやあはむ,おほつかな,そのはるまてと,しらぬみなれは
あさなあさな,しかのしからむ,はきかえの,すゑはのつゆの,ありかたのよや
はなすすき,まねかはここに,とまりなむ,いつれののへも,つひのすみかそ
よそにみし,をはなかすゑの,しらつゆは,あるかなきかの,わかみなりけり
かくしつつ,いまはとならむ,ときにこそ,くやしきことの,かひもなからめ
ゆふくれは,ものそかなしき,かねのおとを,あすもきくへき,みとししらねは
うくひすの,なくになみたの,おつるかな,またもやはるに,あはむとすらむ
みなひとの,むかしかたりに,なりゆくを,いつまてよそに,きかむとすらむ
このよたに,つきまつほとは,くるしきに,あはれいかなる,やみにまとはむ
おほつかな,またみぬみちを,してのやま,ゆきふみわけて,こえむとすらむ
かはらむと,いのるいのちは,をしからて,さてもわかれむ,ことそかなしき
このよには,またもあふまし,うめのはな,ちりちりならむ,ことそかなしき
このみをは,むなしきものと,しりぬれは,つみえむことも,あらしとそおもふ
わかおもふ,ことのしけさに,くらふれは,しのたのもりの,ちえはかすかは
あしろには,しつむみくつも,なかりけり,うちのわたりに,われやすままし
おほはらや,またすみかまも,ならはねは,わかやとのみそ,けふりたえたる
なみたかは,そのみなかみを,たつぬれは,よのうきめより,いつるなりけり
おもひやれ,こころのみつの,あさけれは,かきなかすへき,ことのはもなし
かりそめの,うきよのやみを,かきわけて,うらやましくも,いつるつきかな
かへるかり,にしへゆきせは,たまつさに,おもふことをは,かきつけてまし
