まつほとの,こころもくるし,ほとときす,いかておもひの,ほかにきかまし
つれなさを,ならひになさて,ほとときす,ことしははやく,はつねなかなむ
ほとときす,さつきまつまの,しのひねも,あらはれぬへき,むらさめのそら
われにこそ,つれなしとても,ほとときす,かたふくつきに,ねをはをしまし
ありあけの,つきにはまたし,ほとときす,つれなきかけに,ならひもそする
つれなさを,いつとたのみて,ほとときす,なほありあけの,つきにまつらむ
つれなさを,つきにそかこつ,ほとときす,まつにむなしき,ありあけのそら
からころも,たつたのやまの,ほとときす,うらめつらしき,けさのはつこゑ
ききそむる,かひこそなけれ,ほとときす,またれぬよはは,あらしとおもへは
ほとときす,よふかきこゑは,つきまつと,おきていをねぬ,ひとそききける
ほとときす,ありあけのつきの,いりかたに,やまのはいつる,よはのひとこゑ
ほとときす,なくこゑきけは,やまさとに,つねよりことに,ひとそまたるる
やまふかく,たつねていれは,ほとときす,わけつるくもの,あとになくなり
またれつる,みにこそたのめ,ほとときす,かたらふこゑは,たれとなけれと
われとまた,いさかたらはむ,ほとときす,まちつるほとの,こころつくしを
なほさりに,なきてやすくる,ほとときす,まつはくるしき,こころつくしを
ほとときす,ひとこゑとこそ,おもひしに,まちえてかはる,わかこころかな
はつこゑの,のちはなかなか,ほとときす,なかぬたえまそ,なほまたれける
いつくにも,またれしものを,いまはまた,なかぬさとなき,ほとときすかな
わかためは,はつねなれとも,ほとときす,たれかふたたひ,いまはきくらむ
なきすくる,ならしのをかの,ほとときす,ふるさとひとに,ことやつてまし
つまこひを,しのひかねてや,ほとときす,けふはいはせの,もりになくらむ
いつしかと,まちつるよりも,ほとときす,ききてそいとと,しつこころなき
まつことは,はつねまてかと,おもひしに,ききふるされぬ,ほとときすかな
ひととはて,おのれそなのる,ほとときす,くれゆくそらを,すくるひとこゑ
まとろまは,きかすやあらまし,ほとときす,さもよふかくも,なきわたるかな
あけはまつ,ひとにかたらむ,ほとときす,よふかくやとを,なきてすくなり
ゆめかとそ,おとろかれぬる,ほとときす,またもきかぬは,よはのひとこゑ
あけかたに,はつねはききつ,ほとときす,まつとしもなき,おいのねさめに
すすかやま,あけかたちかき,あまのとを,ふりいててなく,ほとときすかな
あけかたに,なきてそきぬる,ほとときす,つれなきよはと,なにうらみけむ
あかつきの,とりのやこゑに,ひとこゑを,なきそへてゆく,ほとときすかな
ほとときす,あかてききつる,なこりより,ねさめののちは,またそねられぬ
ほとときす,こゑもたかねの,よこくもに,なきすててゆく,あけほののそら
ほとときす,ひとこゑゆゑに,むさしのの,のをなつかしみ,すきもやられす
ほとときす,しはしやすらへ,すかはらや,ふしみのさとの,むらさめのそら
やすらはは,しはしはきかむ,ほとときす,あしのまろやの,かりねなりとも
なにはかた,あしふくこやの,のきはにも,けふやあやめの,ひまなかるらむ
さつききぬ,みとしろをたに,しめはへて,かみのみやひと,さなへとるらむ
ほとときす,しのはぬこゑを,きくよりや,やまたのさはに,さなへとるらむ
あしひきの,やましたみつを,ひきかけし,すそわのたゐに,さなへとるなり
みわたせは,とはやまをたの,まつかけに,みとりをそへて,とるさなへかな
したくさは,うゑぬにしける,おほあらきの,もりのうきたに,さなへとるなり
まちかくも,はなたちはなの,にほふかな,むかしはとほき,やとののきはに
ふるさとに,いかにむかしを,しのへとて,はなたちはなの,かせにちるらむ
そてふれし,むかしのひとそ,しのはるる,はなたちはなの,かをるゆふへは
かせかよふ,よはのねさめの,たまくらに,そてのかそへて,にほふたちはな
たちはなの,かけふむみちを,すきやらて,しはしまたるる,ほとときすかな
ほとときす,こころしてなけ,たちはなの,はなちるさとの,ゆふくれのそら
ほとときす,あやめのねにも,あらなくに,さつきをかけて,なとまたるらむ
さつきこそ,なれかときなれ,ほとときす,いつをまてとて,こゑをしむらむ
ほとときす,おのかさつきの,あめはれて,むらくもまよふ,そらになくなり
さみたれに,けふりたえても,あまひとの,なほしほたるる,そてのうらなみ
たつねはや,いはてのやまの,たにみつも,おとたてつへき,さみたれのころ
やまかはの,いはにせかるる,おともなし,うへこすなみの,さみたれのころ
やまのゐも,まさるみかさに,にこるらし,かけさへみえぬ,さみたれのころ
いけみつの,みきはもみえす,なりにけり,にはになみこす,さみたれのころ
ひかすへて,なみやこすらむ,さみたれは,くもまもみえす,ふるのたかはし
さみたれに,なかれてくたる,やまかはの,みをのそまきは,よとむせもなし
もかみかは,みかさまさりて,さみたれの,しはしはかりも,はれぬそらかな
さみたれは,いくさきふかし,いはたかは,わたるせことに,みつまさりつつ
たつたかは,みきはのなみも,たちそひぬ,みむろのやまの,さみたれのころ
みつまさる,ふもとのかはの,おとそひて,なほみねふかき,さみたれのくも
あまのかは,まさるみかさは,しらねとも,くものなみたつ,さみたれのそら
さみたれは,あまのかくやま,そらとちて,くもそかかれる,みねのまさかき
みてもなほ,あかぬよのまの,つきかけを,おもひたえたる,さみたれのそら
あけやすき,そらにそいとと,なくさまぬ,をはすてやまの,みしかよのつき
なつくさの,あかつきおきの,つゆのまに,うつれはあくる,やまのはのつき
なつのよも,かけそすすしき,ひさかたの,つきのいつくに,あきやとるらむ
なつのよの,あけゆくほとも,はやせさす,うかはのかかり,かけしらむなり
うかひふね,くたすほとなき,みしかよの,かはせにのこる,かかりひのかけ
おほゐかは,うふねくたせる,あかつきの,つきはそらにそ,さしのほりける
うかひふね,せせさしのほる,しらなみに,うつりてくたる,かかりひのかけ
あさなあさな,みつのうへのに,かるくさの,きのふのあとは,かつしけりつつ
なつくさは,ひことにふかく,なりゆけと,かれにしひとの,とはぬやとかな
なつくさの,つゆわけころも,このころも,あかつきおきは,そてそすすしき
なつくさの,はなのえことに,おくつゆを,さつきのたまに,ぬきてととめむ
しけりあふ,なつののくさの,ふかけれは,わけゆくひとそ,よそにしられぬ
いまはみの,ことしけからぬ,やとにしも,なほみちとつる,にはのなつくさ
ふみわけて,とふへきひとも,なきみには,やとからしける,にはのなつくさ
あさみとり,くさのわかはと,みしのへの,はやなつふかく,しけるころかな
なつくさの,しけみにましる,をきのはは,したにやあきの,かせをまつらむ
かせそよく,あしまのほたる,ほのみえて,なみのよるまつ,ほとそすすしき
なつふかく,しけるなにはの,あしまにも,さはらてゆくは,ほたるなりけり
おほゐかは,そらにもゆるや,かかりひに,あらぬほたるの,おもひなるらむ
かりてほす,あさかのぬまの,くさのうへに,かつみたるるは,ほたるなりけり
ほたるとふ,おほろのしみつ,かすかにも,しらはやおのか,もゆるこころを
かやりひの,したやすからぬ,けふりこそ,あたりのやとも,なほくるしけれ
もろともに,みむひともかな,ひとりのみ,をれはかひなき,とこなつのはな
こころして,うをしもしるく,なてしこの,はなのさかりを,いまもみるかな
このさとも,ふりぬとおもふ,ゆふたちの,くもるはかりに,すきにけるかな
なるかみの,おとにもしるし,まきもくの,ひはらのやまの,ゆふたちのそら
おきつなみ,おとふきたてて,しほかせの,みなとにかかる,ゆふたちのくも
かきくらす,そらともみえす,ゆふたちの,すきゆくくもに,いりひさしつつ
ひとむらは,やかてすきぬる,ゆふたちの,なほくものこる,そらそすすしき
ゆふたちは,すきぬるみねの,むらくもに,しはしほのめく,よひのいなつま
ほともなく,はれつるかたに,うつりきて,ひかけにかかる,ゆふたちのくも
あききぬと,いはぬはかりそ,なつころも,すそののはらの,ならのしたかけ
すすしさは,たちよるからに,しられけり,あきかせちかき,ころもてのもり
ゆふされは,しののをささを,ふくかせの,またきにあきの,けしきなるかな
