あふさかの,せきのしみつの,なかりせは,いかてかつきの,かけをとめまし
つきかけも,よさむになりぬ,はしひめの,ころもやうすき,うちのかはかせ
はしひめの,かたしくそても,よやさむき,つきにさえたる,うちのかはなみ
あらしやま,そらなるつきは,かけさえて,かはせのきりそ,うきてなかるる
かけやとす,つきのかつらも,ひとつにて,そらよりすめる,あきのかはみつ
ちりつもる,もみちならねと,たつたかは,つきにもみつの,あきはみえけり
たつたかは,いはこすなみの,こほるかと,またきなきなの,つきにみゆらむ
てるつきの,ひかりとともに,なかれきて,おとさへすめる,やまかはのみつ
いしはしる,たきついはねの,あきのつき,やとるとすれと,かけもとまらす
せきとむる,いはまのみつに,すむつきや,むすへはとくる,こほりなるらむ
みふねこく,ほりえのあしに,おくつゆの,たましくはかり,つきそさやけき
よふねこく,ゆらのみなとの,しほかせに,おなしとわたる,あきのつきかけ
おもひやる,うらのはつしま,おなしくは,ゆきてやみまし,あきのよのつき
ささしまや,よわたるつきの,かけさえて,いそこすなみに,あきかせそふく
すまのうらや,せきのとかけて,たつなみを,つきにふきこす,あきのしほかせ
きよみかた,つきのそらには,せきもゐす,いたつらにたつ,あきのうらなみ
きよみかた,つきすむよはの,むらくもは,ふしのたかねの,けふりなりけり
よさむなる,いくたのもりの,あきかせに,とはれぬさとも,つきやみるらむ
いなはふく,あしのまろやの,あきかせに,ねぬよをさむみ,すめるつきかけ
ひとりすむ,かとたのいほの,つきかけに,わかいねかてを,とふひともなし
かせのおとも,ふきまさるなり,さらてたに,わかいねかての,あきのよのつき
つきみても,あきやむかしと,しのはれて,もとのみなから,みこそつらけれ
あきをへて,とほさかりゆく,いにしへを,おなしかけなる,つきにこひつつ
いにしへの,かせもかはらぬ,わかやとは,すみなれてこそ,つきもみるらめ
なかむれは,むそちのあきも,おほえけり,むかしをさへや,つきはみすらむ
なかむれは,わかこころさへ,はてもなく,ゆくへもしらぬ,つきのかけかな
かささきの,とわたるはしも,しろたへの,はつしもいそく,あきのつきかけ
さらぬたに,ふくるはをしき,あきのよの,つきよりにしに,のこるしらくも
つきにゆく,とほやますりの,かりころも,しをるるつゆに,よはふけにけり
なかしとも,なにおもひけむ,やまとりの,をのへにかかる,あきのよのつき
くれたけの,はやまのきりの,あけかたに,なほよをこめて,のこるつきかけ
