けふにあけて,きのふににぬは,みなひとの,こころにはるの,たちにけらしも
すきぬとも,こゑのにほひは,なほとめよ,ほとときすなく,やとのたちはな
たちはなの,はなちるさとの,にはのあめに,やまほとときす,むかしをそとふ
たちはなの,やとりをとはは,ほとときす,われにむかしの,ことかたらなむ
さみたれの,くもふきすさふ,ゆふかせに,つゆさへかをる,のきのたちはな
わすれすよ,みきのつかさの,そてふれし,はなたちはなや,いまかをるらむ
とほちより,ふきくるかせの,にほひこそ,はなたちはなの,しるへなりけれ
かかりひの,かけしうつれは,ぬはたまの,よかはのそこは,みつももえけり
おほゐかは,うふねのかかり,ほのみえて,くたすやなみの,よるそしらるる
かつらひと,つきのひかりの,ささぬよも,のほるうふねに,さをはとるらし
くれのあめに,かはせのみつや,まさるらむ,はやくそくたる,かかりひのかけ
ゆふやみの,うかはのかかり,くたしすきて,あらぬほたるそ,またもえてゆく
うかひふね,さをさしつつき,のほるらし,あまたみえゆく,かかりひのかけ
ゆふつくひ,よそにくれぬる,このまより,さしくるつきの,かけそすすしき
あまのはら,くもゐはなつの,よそなれや,みれはすすしき,つきのかけかな
いててのち,またほともへぬ,なかそらに,かけしらみぬる,みしかよのつき
さえたもる,かけそほとなき,くれたけの,よわたるつきの,あけやすきころ
よにかかる,すたれにかせは,ふきいれて,にはしろくなる,つきそすすしき
にはのうへの,みつおとちかき,うたたねに,まくらすすしき,つきをみるかな
かたふかて,つきのあけゆく,みしかよは,いるかたをしむ,やまのはもなし
かせにもる,このまのつきも,すすしきは,まつはらたかき,やまかけのやと
つきかけも,なつのよわたる,いつみかは,かはかせすすし,みつのしらなみ
なつのよは,しつまるやとの,まれにして,ささぬとくちに,つきそくまなき
またよひと,おもへはしらむ,よこくもに,やかてまきるる,みしかよのつき
くるるより,なかむるたにも,ほとなきに,ゆふやみをしき,みしかよのつき
つきかけの,かすむもつらし,よそまては,けふりなたてそ,よはのかやりひ
ここのみと,けふりをわけて,すきゆけは,またすゑくらき,しつかかやりひ
やみよりも,すくなきよはの,ほたるかな,おのかひかりを,つきにけたれて
くさふかき,まとのほたるは,かけきえて,あくるいろある,のへのしらつゆ
かきくらす,さつきのさよの,あまくもに,かくれぬほしは,ほたるなりけり
このまより,みゆるはたにの,ほたるかも,いさりにあまの,うみへゆくかも
くさむらに,ほたるみたるる,ゆふくれは,つゆのひかりそ,わかれさりける
ゆふまくれ,かせにつれなき,しらつゆは,しのふにすかる,ほたるなりけり
のきしろき,つきのひかりに,やまかけの,やみをしたひて,ゆくほたるかな
ふくかせに,なひくさはへの,くさのはに,こほれぬつゆや,ほたるなるらむ
やまかけや,くらきいはまの,わすれみつ,たえたえみえて,とふほたるかな
あつさゆみ,やたのひろのの,くさしけみ,わけいるひとや,みちまとふらむ
ゆきなやむ,うしのあゆみに,たつちりの,かせさへあつき,なつのをくるま
をちのそらに,くもたちのほり,けふしこそ,ゆふたちすへき,けしきなりけれ
ゆふたちの,なこりはかりの,にはたつみ,ひころもきかぬ,かはつなくなり
ゆふたちの,なこりのしはふ,みつこえて,しはしなかるる,にはのうたかた
ひをさふる,ならのひろはに,なくせみの,こゑよりはるる,ゆふたちのそら
やまたかみ,こすゑにあらき,かせたちて,たによりのほる,ゆふたちのくも
かせはやみ,くものひとむら,みねこえて,やまみえそむる,ゆふたちのあと
ゆふたちの,とほちをすくる,くものしたに,ふりこぬあめそ,よそにみえゆく
とまるへき,かけしなけれは,はるはると,ぬれてをゆかむ,ゆふたちのあめ
ゆふたちの,くもまのひかけ,はれそめて,やまのこなたを,わたるしらさき
たちのほり,みなみのはてに,くもはあれと,てるひくまなき,ころのおほそら
かくてはや,くれぬとみつる,ゆふたちの,ひかけたかくも,はるるそらかな
えたにもる,あさひのかけの,すくなさに,すすしさふかき,たけのおくかな
いりひさす,みねのこすゑに,なくせみの,こゑをのこして,くるるやまもと
くれかかる,とほちのそらの,ゆふたちに,やまのはみせて,てらすいなつま
こほれおつる,いけのはちすの,しらつゆは,うきはのたまと,またなりにけり
ゆふされは,なみこすいけの,はちすはに,たまゆりすうる,かせのすすしさ
かはかせに,うはけふかせて,ゐるさきの,すすしくみゆる,やなきはらかな
みなつきの,てるひといへと,わかやとの,ならのはかけは,すすしかりけり
かけふかき,そとものならの,ゆふすすみ,ひときかもとに,あきかせそふく
あきちかき,たにのまつかせ,おとたてて,ゆふやますすし,いはのしたみつ
なつやまの,みとりのききを,ふきかへし,ゆふたつかせの,そてにすすしき
やまかせの,ふくとしもなき,ゆふくれも,このしたかけは,なほそすすしき
このころそ,とふへかりける,やまさとの,みつせきとむる,まつのしたかけ
まつかけや,このしたふかき,いはまより,すすしくつたふ,やまかはのみつ
いはねつたふ,みつのひひきは,そこにありて,すすしさたかき,まつかせのやま
なつやまの,いはかねきよく,みつおちて,あたりのくさの,いろもすすしき
しけりあふ,このしたつつく,みやまちは,わけゆくそても,すすしかりけり
たにかはの,すすしきおとを,きくなへに,やましたかせも,まつにふくなり
ふくかせの,たけになるよは,あききぬと,おとろくはかり,そてにすすしき
ひくらしの,こゑきくもりの,したくさに,あきまつつゆの,むすひそめぬる
まつかせも,すすしきほとに,ふきかへて,さよふけにけり,たにかはのおと
かけうつす,にはのましみつ,むすふての,しつくもつきも,そてにすすしき
かせのおとに,すすしきこゑを,あはすなり,ゆふやまかけの,たにのしたみつ
ほかにのみ,なつをはしるや,たきつせの,あたりはあきの,むらさめのこゑ
さよふけて,いはもるみつの,おときけは,すすしくなりぬ,うたたねのとこ
つきのいろも,あきちかしとや,さよふけて,まかきのをきの,おとろかすらむ
あきちかき,しつかかきねの,くさむらに,なにともしらぬ,むしのこゑこゑ
つゆわけむ,あきのあさけは,とほからて,みやこやいくか,まののかやはら
あしのはに,ひとよのあきを,ふきこして,けふよりすすし,いけのゆふかせ
かせわたる,かはせのなみの,なつはらへ,ゆふくれかけて,そてそすすしき
ゆふされは,あさのはなかる,みよしのの,たきつかはうちに,みそきすらしも
しののめの,そらきりわたり,いつしかと,あきのけしきに,よはなりにけり
いつくにも,あきはきぬれと,やまさとの,まつふくかせは,ことにそありける
こころあての,おもひのいろそ,たつたやま,けさしもそめし,ききのしらつゆ
けさよりは,ふきくるかせも,おくつゆも,そてにはしめて,あきそしらるる
くさのうへに,あさおくにはの,つゆみれは,そてもすすしく,あきはきにけり
さひしさの,あはれをそへぬ,やともあらし,よものくさきの,あきのはつかせ
あきあさき,ひかけになつは,のこれとも,くるるまかきは,をきのうはかせ
みにしみて,ふきこそまされ,ひくらしの,なくゆふくれの,あきのはつかせ
ふきまさる,かせのままなる,くすのはの,うらめつらしく,あきはきにけり
